filename,width,height,class,xmin,ymin,xmax,ymax
cardboard1.jpg,512,384,cardboard,1,1,512,384
cardboard10.jpg,512,384,cardboard,1,1,512,384
cardboard101.jpg,512,384,cardboard,1,1,512,384
cardboard102.jpg,512,384,cardboard,1,1,512,384
cardboard103.jpg,512,384,cardboard,1,1,512,384
cardboard104.jpg,512,384,cardboard,1,1,512,384
cardboard105.jpg,512,384,cardboard,1,1,512,384
cardboard106.jpg,512,384,cardboard,1,1,512,384
cardboard107.jpg,512,384,cardboard,1,1,512,384
cardboard108.jpg,512,384,cardboard,1,1,512,384
cardboard109.jpg,512,384,cardboard,78,1,512,384
cardboard11.jpg,512,384,cardboard,1,1,512,384
cardboard110.jpg,512,384,cardboard,1,1,512,384
cardboard111.jpg,512,384,cardboard,1,1,512,384
cardboard112.jpg,512,384,cardboard,6,153,491,384
cardboard113.jpg,512,384,cardboard,1,1,512,384
cardboard114.jpg,512,384,cardboard,1,1,483,384
cardboard115.jpg,512,384,cardboard,1,1,512,384
cardboard116.jpg,512,384,cardboard,1,1,474,304
cardboard117.jpg,512,384,cardboard,1,1,512,384
cardboard118.jpg,512,384,cardboard,1,23,503,376
cardboard119.jpg,512,384,cardboard,6,16,506,358
cardboard12.jpg,512,384,cardboard,1,1,512,384
cardboard120.jpg,512,384,cardboard,1,104,512,384
cardboard121.jpg,512,384,cardboard,1,1,512,384
cardboard122.jpg,512,384,cardboard,1,1,512,384
cardboard123.jpg,512,384,cardboard,1,43,512,384
cardboard124.jpg,512,384,cardboard,20,1,512,349
cardboard125.jpg,512,384,cardboard,1,1,482,384
cardboard127.jpg,512,384,cardboard,1,1,512,384
cardboard128.jpg,512,384,cardboard,1,1,467,302
cardboard129.jpg,512,384,cardboard,1,1,512,384
cardboard13.jpg,512,384,cardboard,1,1,512,384
cardboard130.jpg,512,384,cardboard,40,37,467,343
cardboard131.jpg,512,384,cardboard,130,14,477,384
cardboard132.jpg,512,384,cardboard,87,66,382,310
cardboard133.jpg,512,384,cardboard,93,77,360,331
cardboard135.jpg,512,384,cardboard,1,1,512,384
cardboard136.jpg,512,384,cardboard,124,70,316,270
cardboard137.jpg,512,384,cardboard,138,107,345,249
cardboard138.jpg,512,384,cardboard,1,1,512,384
cardboard139.jpg,512,384,cardboard,1,1,512,384
cardboard14.jpg,512,384,cardboard,1,1,512,384
cardboard141.jpg,512,384,cardboard,1,1,512,384
cardboard142.jpg,512,384,cardboard,78,68,383,299
cardboard143.jpg,512,384,cardboard,78,29,352,347
cardboard144.jpg,512,384,cardboard,84,111,383,350
cardboard145.jpg,512,384,cardboard,126,33,368,364
cardboard146.jpg,512,384,cardboard,14,1,439,384
cardboard147.jpg,512,384,cardboard,1,1,413,384
cardboard148.jpg,512,384,cardboard,1,1,460,384
cardboard149.jpg,512,384,cardboard,1,1,441,384
cardboard15.jpg,512,384,cardboard,1,1,512,384
cardboard150.jpg,512,384,cardboard,147,160,368,323
cardboard151.jpg,512,384,cardboard,141,120,294,280
cardboard152.jpg,512,384,cardboard,173,122,339,314
cardboard153.jpg,512,384,cardboard,75,82,278,341
cardboard153.jpg,512,384,cardboard,178,22,402,203
cardboard154.jpg,512,384,cardboard,63,47,381,352
cardboard155.jpg,512,384,cardboard,1,1,512,384
cardboard156.jpg,512,384,cardboard,1,1,512,384
cardboard157.jpg,512,384,cardboard,1,1,512,384
